X,Y,objectid,class,gisassetid,material,owns,maintains,lasteditor,horzontalprecision,surveytype,surveydate,mode
147.136542640150566,-41.435737788717475,947,Bench Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136583918607357,-41.43568993664082,948,Bench Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136713964964684,-41.435734225439624,949,Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136719126775972,-41.435741326264157,950,Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136724994715223,-41.435748390219082,951,Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136800404202916,-41.435828792060619,952,Bench Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136717909778355,-41.435851562130743,953,Bench Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.135944538547136,-41.436445959109122,954,Bench Seat with back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-18T00:00:00.000Z,active
147.135953486727175,-41.436420547241596,955,Bench Seat with back,,TIMBER,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-18T00:00:00.000Z,active
147.135982098054427,-41.436416622165673,956,Bench Seat with back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-18T00:00:00.000Z,active
147.136259409378681,-41.436283865044473,957,Bench Seat with back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136292489572497,-41.436287699107496,958,Bench Seat without back,,TIMBER,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136309857315439,-41.436258980473269,959,Bench Seat without back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
