X,Y,objectid,local,state,thr_id,original_a,commentary
147.142530462597222,-41.443567802625807,98,LCC,THC,3783, , 
147.142486934048122,-41.444081286270738,99,LCC,THC,3785, , 
147.142430042823122,-41.443685025005287,100,LCC,THC,3786, , 
147.142320587006793,-41.443721190621382,101,LCC,THC,3787, , 
147.142357421311203,-41.444123519916815,102,LCC, ,0,57 Balfour Street LAUNCESTON TAS 7250, 
147.141445816328229,-41.444415849948975,103,LCC,THC,3789, , 
147.141395870031658,-41.444569039493437,104,LCC,THC,3790, , 
147.141285195499449,-41.44459619807958,105,LCC,THC,3791, , 
147.141148757398184,-41.444642013057681,106,LCC, ,0,69 Balfour Street LAUNCESTON TAS 7250, 
147.14097665433971,-41.444686651963011,107,LCC,THC,3793, , 
147.141000404404451,-41.444542502250975,108,LCC,THC,3793, , 
147.140805200919971,-41.444699651740024,109,LCC, ,0,73 Balfour Street LAUNCESTON TAS 7250, 
147.141046653948678,-41.444119091256681,110,LCC,THC,3795, , 
147.14066775318534,-41.44477710545798,111,LCC,THC,3796, , 
